Date,Time,InstructorName,Minutes,Activity Type,Class,Title,TotalOutput,AvgWatts,AvgResistance,AvgCadence,AvgSpeed,Distance,Calories,AvgHR
5/3/2020  4,:32:00 PM,Matt Wilpers,30,Cycling,Low Impact,30 min Low Impact Ride,146,81,0.35,80,14.66,7.33,175,110.59
5/5/2020  4,:33:00 PM,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,177,98,0.36,85,15.56,7.78,195,118.69
5/5/2020  5,:05:00 PM,Matt Wilpers,30,Cycling,Low Impact,30 min Low Impact Ride,152,84,0.35,82,14.92,7.46,176,110.93
5/6/2020  5,:09:00 PM,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,278,103,0.36,88,16.3,12.22,304,118.51
5/8/2020  4,:14:00 PM,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,376,104,0.38,83,16.41,16.41,378,114.51
5/8/2020  5,:16:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,86,96,0.37,83,15.81,3.95,84,108.69
5/10/20 0:00,4:49:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,383,107,0.38,85,16.53,16.53,389,116.13
5/10/20 0:00,5:50:00 PM,Leanne Hainsby,10,Cycling,Low Impact,10 min Low Impact Ride,52,86,0.36,81,15.17,2.52,49,102.87
5/11/20 0:00,3:50:00 PM,Ben Alldis,30,Cycling,Climb,30 min Climb Ride: Live from Home,193,107,0.42,76,16.53,8.26,205,119.23
5/11/20 0:00,4:22:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,281,104,0.38,83,16.41,12.31,316,120.8
5/12/20 0:00,4:09:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,419,125,0.44,76,17.6,16.92,522,
5/12/20 0:00,5:11:00 PM,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,49,83,0.34,84,14.77,2.46,62,
5/13/20 0:00,4:57:00 PM,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,195,109,0.38,82,16.25,8.11,244,
5/13/20 0:00,5:29:00 PM,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,270,100,0.38,81,16.09,12.06,337,
5/14/20 0:00,4:46:00 PM,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,203,113,0.39,84,16.77,8.38,254,
5/14/20 0:00,5:18:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,88,98,0.36,88,15.98,3.99,110,
5/15/20 0:00,4:14:00 PM,Ben Alldis,60,Cycling,Climb,60 min Climb Ride,162,62,0.37,58,11.8,7.71,202,
5/16/20 0:00,3:53:00 PM,Christine D'Ercole,45,Cycling,Climb,45 min Climb Ride,317,117,0.42,77,17.05,12.79,394,136
5/16/20 0:00,4:39:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,80,89,0.36,82,15.14,3.78,100,
5/17/20 0:00,5:04:00 PM,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min Endurance Ride,416,116,0.4,83,17.13,17.13,519,
5/17/20 0:00,6:06:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Cool Down Ride,85,95,0.38,81,15.83,3.95,106,
5/18/20 0:00,5:21:00 PM,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,270,100,0.36,88,16.06,12.04,269,111.66
5/18/20 0:00,6:07:00 PM,Christine D'Ercole,10,Cycling,Low Impact,10 min Cool Down Ride,50,83,0.32,93,14.94,2.49,51,103.75
5/20/20 0:00,3:50:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,384,107,0.38,83,16.51,16.51,388,116.02
5/20/20 0:00,4:51:00 PM,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,19,64,0.29,89,13.34,1.11,22,97.81
5/21/20 0:00,4:12:00 PM,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,188,104,0.38,83,16.09,8.04,245,132
5/21/20 0:00,4:45:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,88,98,0.36,85,16.01,4,110,
5/31/20 0:00,12:00:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,390,108,0.37,87,16.67,16.67,447,124.59
5/31/20 0:00,1:02:00 PM,Denis Morton,10,Cycling,Low Impact,10 min Cool Down Ride,46,76,0.31,90,14.45,2.4,50,103.74
6/1/2020  3,:22:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,294,109,0.38,83,16.4,12.3,320,120.68
6/1/2020  4,:09:00 PM,Christine D'Ercole,15,Cycling,Low Impact,15 min Low Impact Ride,88,98,0.37,82,16.01,4,100,117.9
6/2/2020  3,:16:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,412,114,0.41,80,16.92,16.92,415,119.92
6/2/2020  4,:18:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Cool Down Ride,81,90,0.38,78,15.48,3.87,83,107.82
6/3/2020  4,:03:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,374,104,0.38,82,16.35,16.35,418,120.36
6/3/2020  5,:04:00 PM,Kendall Toole,5,Cycling,Low Impact,5 min Cool Down Ride,33,80,0.37,74,14.47,1.68,40,110.04
6/4/2020  5,:20:00 PM,Christine D'Ercole,45,Cycling,Low Impact,45 min Low Impact Ride,249,92,0.38,79,15.59,11.68,273,112.58
6/4/2020  6,:07:00 PM,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,44,73,0.34,80,14.06,2.34,45,98.78
6/6/2020  2,:47:00 PM,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,78,86,0.32,93,14.9,3.72,97,115.79
6/6/2020  3,:03:00 PM,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,189,158,0.47,80,19.51,6.5,209,150.8
6/6/2020  3,:26:00 PM,Christine D'Ercole,20,Cycling,Low Impact,20 min Low Impact Ride,102,85,0.38,69,14.41,4.8,143,123.25
